X,Y,Original_Z,Smoothed_Z
-140,0,766.77,766.584
-120,60,766.49,766.436
-120,55,766.33,766.397
-120,50,766.31,766.358
-120,45,766.3,766.316
-120,40,766.25,766.266
-120,35,766.17,766.21
-120,30,766.1,766.152
-120,25,766.02,766.106
-120,20,765.96,766.084
-120,15,765.96,766.096
-120,10,766.02,766.144
-120,5,766.09,766.214
-120,0,766.69,766.284
-120,-5,766.3,766.34
-120,-10,766.39,766.382
-120,-15,766.47,766.419
-120,-20,766.54,766.458
-120,-25,766.6,766.494
-120,-30,766.63,766.524
-120,-35,766.65,766.547
-120,-40,766.65,766.561
-120,-45,766.63,766.568
-120,-50,766.61,766.571
-120,-55,766.59,766.571
-120,-60,766.58,766.567
-100,-80,766.57,766.384
-100,-75,766.55,766.387
-100,-70,766.46,766.373
-100,-65,766.34,766.345
-100,-50,766.23,766.206
-100,-45,766.12,766.164
-100,-40,766.01,766.129
-100,-35,765.96,766.1
-100,-30,765.94,766.078
-100,-25,765.91,766.064
-100,-20,765.91,766.057
-100,-15,765.92,766.059
-100,-10,765.94,766.071
-100,-5,765.97,766.091
-100,0,766,766.12
-100,5,766.08,766.157
-100,10,766.14,766.202
-100,15,766.22,766.257
-100,20,766.31,766.32
-100,25,766.4,766.387
-100,30,766.49,766.455
-100,35,766.57,766.518
-100,40,766.64,766.572
-100,45,766.69,766.616
-100,50,766.71,766.65
-100,55,766.73,766.677
-100,60,766.74,766.699
-100,65,766.74,766.718
-100,70,766.75,766.733
-100,75,766.76,766.744
-100,80,766.77,766.753
-80,100,766.81,766.787
-80,95,766.79,766.777
-80,90,766.78,766.765
-80,85,766.76,766.751
-80,80,766.74,766.735
-80,75,766.71,766.718
-80,70,766.69,766.702
-80,65,766.68,766.686
-80,60,766.66,766.671
-80,55,766.64,766.658
-80,50,766.64,766.646
-80,45,766.64,766.636
-80,40,766.65,766.625
-80,35,766.66,766.613
-80,30,766.66,766.597
-80,25,766.66,766.578
-80,20,766.65,766.555
-80,15,766.63,766.529
-80,10,766.6,766.501
-80,5,766.57,766.474
-80,0,766.57,766.45
-80,-5,766.52,766.431
-80,-10,766.52,766.417
-80,-15,766.52,766.407
-80,-20,766.53,766.398
-80,-25,766.53,766.386
-80,-30,766.52,766.366
-80,-35,766.38,766.336
-80,-40,766.24,766.293
-80,-55,766.11,766.094
-80,-60,765.97,766.04
-80,-65,765.83,766.001
-80,-70,765.81,765.973
-80,-75,765.8,765.955
-80,-80,765.81,765.944
-80,-85,765.83,765.937
-80,-90,765.86,765.935
-80,-95,765.88,765.939
-80,-100,765.9,765.949
-60,-120,766.06,766.194
-60,-115,766.1,766.214
-60,-110,766.14,766.239
-60,-105,766.21,766.268
-60,-100,766.29,766.299
-60,-95,766.35,766.327
-60,-90,766.4,766.353
-60,-85,766.43,766.374
-60,-80,766.45,766.391
-60,-75,766.46,766.406
-60,-70,766.48,766.419
-60,-65,766.5,766.429
-60,-60,766.5,766.435
-60,-55,766.51,766.43
-60,-50,766.47,766.411
-60,-45,766.37,766.376
-60,-40,766.25,766.326
-60,-30,766.14,766.208
-60,-25,766.04,766.162
-60,-20,765.97,766.131
-60,-15,765.96,766.115
-60,-10,765.98,766.114
-60,-5,766,766.124
-60,0,766.04,766.143
-60,5,766.05,766.169
-60,10,766.09,766.2
-60,15,766.13,766.238
-60,20,766.17,766.281
-60,25,766.23,766.331
-60,30,766.3,766.384
-60,35,766.38,766.441
-60,40,766.46,766.496
-60,45,766.53,766.547
-60,50,766.6,766.592
-60,55,766.64,766.629
-60,60,766.67,766.657
-60,65,766.69,766.677
-60,70,766.7,766.692
-60,75,766.7,766.704
-60,80,766.72,766.715
-60,85,766.73,766.727
-60,90,766.74,766.741
-60,95,766.76,766.756
-60,100,766.78,766.772
-60,105,766.8,766.788
